age,plat,plon,a95
719,6.7,162.1,3.0
755,10.8,168.2,5.9
759,2.4,161.1,2.2
780,3.2,151.5,8.0
887,-25.2,143.4,12.9
975,-33.04856199596153,179.84891281344713,10.7
990,-16.9,183.4,3.6
1045,3.6,168.8,2.6
1075,1.4,179.8,2.4
1077,6.6,182.9,2.4
1082,15.9,183.9,7.4
1084,17.1,174.8,4.4
1086,23.1,185.7,3.3
1090,27.1,187.8,3.0
1092,27.1,183.0,2.4
1094,31.2,183.2,2.5
1095,35.1,180.1,1.9
1098,30.6,177.4,8.9
1100,36.1,189.7,4.9
1105,37.5,205.2,4.5
1105,42.3,203.4,3.7
1107,47.2,206.5,4.8
1107,42.7,211.3,8.2
1108,51.2,220.3,5.2
1108,40.9,218.6,4.8
1109,49.5,227.0,5.3
1141,50.4,213.4,12.6
1144,57.9,223.3,9.2
1160,35.44855257087134,222.08229222022447,5.8
1163,43.92482431678137,219.54030917430364,9.2
1163,44.73294788591684,208.6278153838513,14.9
1184,36.79028732424148,206.0711153163513,9.6
1184,33.65547886126523,216.11465133510708,10.6
1235,-2.5,192.3,2.5
1267,2.6,189.5,2.8
1271,12.369181412531649,189.8238514632814,5.9
1271,6.673330862830156,194.0841564155118,5.5
1275,7.385652343383871,186.16731302122946,3.3
1275,17.219280411099472,190.76822029890943,10.6
1305,11.8,206.8,2.5
1385,-11.1,221.2,10.8
1392,-4.2,215.0,11.0
1427,-13.6,215.5,8.2
1430,-10.4,217.9,5.9
1441,-1.4,205.1,7.3
1449,-19.0,214.8,5.5
1458,-6.1,220.0,10.4
1466,-12.1,219.1,6.0
1469,-1.4,217.8,4.3
1592,9.2,245.5,4.3
1630,1.6276932959632793,261.9729494900735,9.3
1740,20.4,274.9,7.0
1756,9.2,277.0,11.4
1779,20.5,265.8,4.5
